goal,Goal/Subgoal,Dataset,Description,Source
FP,MAR,Reference Point: maximum nutrient discharge (N and P),,"<a href=""http://www.helcom.fi/Recommendations/Rec%2025-4.pdf,"" target = ""_blank"">maximum nutrient discharge for P and N</a>"
MAR,MAR,Reference Point: maximum nutrient discharge (N and P),,"<a href=""http://www.helcom.fi/Recommendations/Rec%2025-4.pdf,"" target = ""_blank"">maximum nutrient discharge for P and N</a>"
FP,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Cod in subdivisions 22-24, western Baltic stock  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10446"" target = ""_blank"">ICES database</a>"
FIS,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Cod in subdivisions 22-24, western Baltic stock  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10446"" target = ""_blank"">ICES database</a>"
FP,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Cod in subdivisions 24-32, eastern Baltic stock  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12941"" target = ""_blank"">ICES database</a>"
FIS,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Cod in subdivisions 24-32, eastern Baltic stock  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12941"" target = ""_blank"">ICES database</a>"
FP,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 20-24 -Skagerrak, Kattegat and western Batic-  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12592"" target = ""_blank"">ICES database</a>"
FIS,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 20-24 -Skagerrak, Kattegat and western Batic-  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12592"" target = ""_blank"">ICES database</a>"
FP,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 25-29,32 -central Baltic Sea (excluding Gulf of Riga)-  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10408"" target = ""_blank"">ICES database</a>"
FIS,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 25-29,32 -central Baltic Sea (excluding Gulf of Riga)-  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10408"" target = ""_blank"">ICES database</a>"
FP,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivision 28.1 (Gulf of Riga)  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10404"" target = ""_blank"">ICES database</a>"
FIS,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivision 28.1 (Gulf of Riga)  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=10404"" target = ""_blank"">ICES database</a>"
FP,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 30-31 (Gulf of Bothnia)  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12738"" target = ""_blank"">ICES database</a>"
FIS,FIS,"Landings (for F/FMSY) and SSB (for B/BMSY) Data, Herring in subdivisions 30-31 (Gulf of Bothnia)  ",,"<a href=""http://standardgraphs.ices.dk/ViewCharts.aspx?key=12738"" target = ""_blank"">ICES database</a>"
FP,FIS,"Cod Trawl Survey, Baltic International Trawl Survey (BITS) Cod Length and Weight - ICES subdivisions 21-29  ",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES DATRAS database</a>"
FIS,FIS,"Cod Trawl Survey, Baltic International Trawl Survey (BITS) Cod Length and Weight - ICES subdivisions 21-29  ",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES DATRAS database</a>"
FP,FIS,"Cod Trawl Survey, Baltic International Trawl Survey (BITS) Cod CPUE - ICES subdivisions 21-29  ",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES DATRAS database</a>"
FIS,FIS,"Cod Trawl Survey, Baltic International Trawl Survey (BITS) Cod CPUE - ICES subdivisions 21-29  ",,"<a href=""https://datras.ices.dk/Data_products/Download/Download_Data_public.aspx"" target = ""_blank"">ICES DATRAS database</a>"
FP,FIS,"FMSY and BMSY Reference Points, Cod (Gadus morhua) in subdivisions 22–24, western Baltic stock (western Baltic Sea) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/cod.27.22-24.pdf"" target = ""_blank"">Reference points</a>"
FIS,FIS,"FMSY and BMSY Reference Points, Cod (Gadus morhua) in subdivisions 22–24, western Baltic stock (western Baltic Sea) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/cod.27.22-24.pdf"" target = ""_blank"">Reference points</a>"
FP,FIS,"FMSY and BMSY Reference Points, Cod (Gadus morhua) in subdivisions 24–32, eastern Baltic stock (eastern Baltic Sea) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/cod.27.24-32.pdf"" target = ""_blank"">Reference points</a>"
FIS,FIS,"FMSY and BMSY Reference Points, Cod (Gadus morhua) in subdivisions 24–32, eastern Baltic stock (eastern Baltic Sea) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/cod.27.24-32.pdf"" target = ""_blank"">Reference points</a>"
FP,FIS,"FMSY and BMSY Reference Points, Herring (Clupea harengus) in Subdivisions 20-24 (Skagerrak, Kattegat and western Baltic) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.20-24.pdf"" target = ""_blank"">Reference points</a>"
FIS,FIS,"FMSY and BMSY Reference Points, Herring (Clupea harengus) in Subdivisions 20-24 (Skagerrak, Kattegat and western Baltic) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.20-24.pdf"" target = ""_blank"">Reference points</a>"
FP,FIS,"FMSY and BMSY Reference Points, Herring (Clupea harengus) in Subdivisions 25-29,32 (excluding Gulf of Riga) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.25-2932.pdf"" target = ""_blank"">Reference points</a>"
FIS,FIS,"FMSY and BMSY Reference Points, Herring (Clupea harengus) in Subdivisions 25-29,32 (excluding Gulf of Riga) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.25-2932.pdf"" target = ""_blank"">Reference points</a>"
FP,FIS,"FMSY and BMSY Reference Points, Herring (Clupea harengus) in Subdivision 28.1 (Gulf of Riga) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.28.pdf"" target = ""_blank"">Reference points</a>"
FIS,FIS,"FMSY and BMSY Reference Points, Herring (Clupea harengus) in Subdivision 28.1 (Gulf of Riga) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.28.pdf"" target = ""_blank"">Reference points</a>"
FP,FIS,"FMSY and BMSY Reference Points, Herring (Clupea harengus) in Subdivisions 30 and 31 (Gulf of Bothnia) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.3031.pdf"" target = ""_blank"">Reference points</a>"
FIS,FIS,"FMSY and BMSY Reference Points, Herring (Clupea harengus) in Subdivisions 30 and 31 (Gulf of Bothnia) : ",,"<a href=""http://ices.dk/sites/pub/Publication%20Reports/Advice/2019/2019/her.27.3031.pdf"" target = ""_blank"">Reference points</a>"
CW,EUT,"Secchi Depth, ICES Secchi Depth Data",,"<a href=""http://ecosystemdata.ices.dk/inventory/Index.aspx?"" target = ""_blank"">ICES data portal</a>"
EUT,EUT,"Secchi Depth, ICES Secchi Depth Data",,"<a href=""http://ecosystemdata.ices.dk/inventory/Index.aspx?"" target = ""_blank"">ICES data portal</a>"
CW,EUT,"Secchi Depth, SMHI Secchi Depth Data  ",,"<a href=""http://www.smhi.se/klimatdata/oceanografi/havsmiljodata/marina-miljoovervakningsdata"" target = ""_blank"">SMHI Shark database</a>"
EUT,EUT,"Secchi Depth, SMHI Secchi Depth Data  ",,"<a href=""http://www.smhi.se/klimatdata/oceanografi/havsmiljodata/marina-miljoovervakningsdata"" target = ""_blank"">SMHI Shark database</a>"
CW,EUT,"Oxygen Debt, ICES Oxygen Data",,"<a href=""https://ocean.ices.dk/HydChem/HydChem.aspx?plot=yes"" target = ""_blank"">ICES database</a>"
EUT,EUT,"Oxygen Debt, ICES Oxygen Data",,"<a href=""https://ocean.ices.dk/HydChem/HydChem.aspx?plot=yes"" target = ""_blank"">ICES database</a>"
CW,EUT,"Oxygen Debt, ICES CTD Data",,"<a href=""https://ocean.ices.dk/HydChem/HydChem.aspx?plot=yes"" target = ""_blank"">ICES database</a>"
EUT,EUT,"Oxygen Debt, ICES CTD Data",,"<a href=""https://ocean.ices.dk/HydChem/HydChem.aspx?plot=yes"" target = ""_blank"">ICES database</a>"
CW,EUT,"Oxygen Debt, ICES Hydrogen Sulphide",,"<a href=""https://ocean.ices.dk/HydChem/HydChem.aspx?plot=yes"" target = ""_blank"">ICES database</a>"
EUT,EUT,"Oxygen Debt, ICES Hydrogen Sulphide",,"<a href=""https://ocean.ices.dk/HydChem/HydChem.aspx?plot=yes"" target = ""_blank"">ICES database</a>"
CW,EUT,"Oxygen Debt, SMHI CTD Data",,"<a href=""https://sharkweb.smhi.se/"" target = ""_blank"">SMHI database</a>"
EUT,EUT,"Oxygen Debt, SMHI CTD Data",,"<a href=""https://sharkweb.smhi.se/"" target = ""_blank"">SMHI database</a>"
CW,EUT,"Chlorophyll a, and Nutrients (DIN and DIP), Baltic Nest Datasets",,"<a href=""http://nest.su.se/dataPortal/getStations"" target = ""_blank"">Baltic Nest database</a>"
EUT,EUT,"Chlorophyll a, and Nutrients (DIN and DIP), Baltic Nest Datasets",,"<a href=""http://nest.su.se/dataPortal/getStations"" target = ""_blank"">Baltic Nest database</a>"
CW,EUT,"Chlorophyll a, and Nutrients (DIN and DIP), Chlorophyll a Data from SMHI",,"<a href=""http://www.smhi.se/klimatdata/oceanografi/havsmiljodata/marina-miljoovervakningsdata"" target = ""_blank"">SMHI Shark database</a>"
EUT,EUT,"Chlorophyll a, and Nutrients (DIN and DIP), Chlorophyll a Data from SMHI",,"<a href=""http://www.smhi.se/klimatdata/oceanografi/havsmiljodata/marina-miljoovervakningsdata"" target = ""_blank"">SMHI Shark database</a>"
CW,EUT,"Chlorophyll a, and Nutrients (DIN and DIP), Chlorophyll a Data from ICES",,"<a href=""https://ocean.ices.dk/HydChem/HydChem.aspx?plot=yes"" target = ""_blank"">ICES database</a>"
EUT,EUT,"Chlorophyll a, and Nutrients (DIN and DIP), Chlorophyll a Data from ICES",,"<a href=""https://ocean.ices.dk/HydChem/HydChem.aspx?plot=yes"" target = ""_blank"">ICES database</a>"
CW,EUT,"HELCOM HOLAS Sub-basins, HELCOM HOLAS Sub-basins",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/e5a59af9-c244-4069-9752-be3acc5dabed"" target = ""_blank"">HELCOM</a>"
EUT,EUT,"HELCOM HOLAS Sub-basins, HELCOM HOLAS Sub-basins",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/e5a59af9-c244-4069-9752-be3acc5dabed"" target = ""_blank"">HELCOM</a>"
CW,EUT,"HELCOM HOLAS Sub-basins, HELCOM HOLAS Sub-basins with Coastal WFD Water Bodies",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/67d653b1-aad1-4af4-920e-0683af3c4a48"" target = ""_blank"">HELCOM</a>"
EUT,EUT,"HELCOM HOLAS Sub-basins, HELCOM HOLAS Sub-basins with Coastal WFD Water Bodies",,"<a href=""http://metadata.helcom.fi/geonetwork/srv/eng/catalog.search#/metadata/67d653b1-aad1-4af4-920e-0683af3c4a48"" target = ""_blank"">HELCOM</a>"
CW,EUT,"Reference Values, Offshore reference values",,"<a href=""http://stateofthebalticsea.helcom.fi/wp-content/uploads/2019/09/BSEP156-Eutrophication.pdf"" target = ""_blank"">Baltic Sea Environment Proceedings no.156</a>"
EUT,EUT,"Reference Values, Offshore reference values",,"<a href=""http://stateofthebalticsea.helcom.fi/wp-content/uploads/2019/09/BSEP156-Eutrophication.pdf"" target = ""_blank"">Baltic Sea Environment Proceedings no.156</a>"
CW,EUT,"Reference Values, Coastal Chlorophyll a Reference Values",,"<a href=""https://helcom.fi/media/core%20indicators/Chlorophyll-a-HELCOM-core-indicator-2018.pdf"" target = ""_blank"">HELCOM Chlorophyll a core indicator</a>"
EUT,EUT,"Reference Values, Coastal Chlorophyll a Reference Values",,"<a href=""https://helcom.fi/media/core%20indicators/Chlorophyll-a-HELCOM-core-indicator-2018.pdf"" target = ""_blank"">HELCOM Chlorophyll a core indicator</a>"
CW,EUT,"Reference Values, 2.1.5.3 Coastal DIN Reference Values",,"<a href=""https://helcom.fi/media/core%20indicators/Dissolved-inorganic-nitrogen-DIN-HELCOM-core-indicator-2018.pdf"" target = ""_blank"">HELCOM DIN core indicator</a>"
EUT,EUT,"Reference Values, 2.1.5.3 Coastal DIN Reference Values",,"<a href=""https://helcom.fi/media/core%20indicators/Dissolved-inorganic-nitrogen-DIN-HELCOM-core-indicator-2018.pdf"" target = ""_blank"">HELCOM DIN core indicator</a>"
CW,EUT,"Reference Values, Coastal DIP Reference Values",,"<a href=""https://helcom.fi/media/core%20indicators/Dissolved-inorganic-phosphorus-DIP-HELCOM-core-indicator-2018.pdf"" target = ""_blank"">HELCOM DIP core indicator</a>"
EUT,EUT,"Reference Values, Coastal DIP Reference Values",,"<a href=""https://helcom.fi/media/core%20indicators/Dissolved-inorganic-phosphorus-DIP-HELCOM-core-indicator-2018.pdf"" target = ""_blank"">HELCOM DIP core indicator</a>"
CW,CON,"PCB Data, PCB Data in Biota",,"<a href=""http://dome.ices.dk/views/ContaminantsBiota.aspx"" target = ""_blank"">ICES Database</a>"
CON,CON,"PCB Data, PCB Data in Biota",,"<a href=""http://dome.ices.dk/views/ContaminantsBiota.aspx"" target = ""_blank"">ICES Database</a>"
CW,CON,"PCB Data, PCB Congeners",,"<a href=""https://vocab.ices.dk/?CodeID=26983"" target = ""_blank"">Reference</a>"
CON,CON,"PCB Data, PCB Congeners",,"<a href=""https://vocab.ices.dk/?CodeID=26983"" target = ""_blank"">Reference</a>"
CW,CON,"PCB Data, PCBs in Sediment",,"<a href=""http://dome.ices.dk/views/ContaminantsSediment.aspx"" target = ""_blank"">ICES Database</a>"
CON,CON,"PCB Data, PCBs in Sediment",,"<a href=""http://dome.ices.dk/views/ContaminantsSediment.aspx"" target = ""_blank"">ICES Database</a>"
CW,CON,"PFOS Data, PFOS in Biota  ",,"<a href=""http://dome.ices.dk/views/ContaminantsBiota.aspx"" target = ""_blank"">ICES Database</a>"
CON,CON,"PFOS Data, PFOS in Biota  ",,"<a href=""http://dome.ices.dk/views/ContaminantsBiota.aspx"" target = ""_blank"">ICES Database</a>"
CW,CON,"Dioxin Data, Dioxins in Biota  ",,"<a href=""http://dome.ices.dk/views/ContaminantsBiota.aspx"" target = ""_blank"">ICES Database</a>"
CON,CON,"Dioxin Data, Dioxins in Biota  ",,"<a href=""http://dome.ices.dk/views/ContaminantsBiota.aspx"" target = ""_blank"">ICES Database</a>"
CW,CON,"Dioxin Data, Dioxin Congeners",,"<a href=""https://vocab.ices.dk/?CodeID=26986"" target = ""_blank"">Reference</a>"
CON,CON,"Dioxin Data, Dioxin Congeners",,"<a href=""https://vocab.ices.dk/?CodeID=26986"" target = ""_blank"">Reference</a>"
CW,CON,"Dioxin Data, Dioxins in Sediment  ",,"<a href=""http://dome.ices.dk/views/ContaminantsSediment.aspx"" target = ""_blank"">ICES Database</a>"
CON,CON,"Dioxin Data, Dioxins in Sediment  ",,"<a href=""http://dome.ices.dk/views/ContaminantsSediment.aspx"" target = ""_blank"">ICES Database</a>"
CW,CON,Concerning Substances Datasets,,"<a href=""https://echa.europa.eu/candidate-list-table?p_p_id=disslists_WAR_disslistsportlet&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_pos=2&p_p_col_count=3&_disslists_WAR_disslistsportlet_javax.portlet.action=searchDissLists"" target = ""_blank"">European Chemical Agency Candidate List of substances of very high concern for Authorisation</a>"
CON,CON,Concerning Substances Datasets,,"<a href=""https://echa.europa.eu/candidate-list-table?p_p_id=disslists_WAR_disslistsportlet&p_p_lifecycle=1&p_p_state=normal&p_p_mode=view&p_p_col_id=column-1&p_p_col_pos=2&p_p_col_count=3&_disslists_WAR_disslistsportlet_javax.portlet.action=searchDissLists"" target = ""_blank"">European Chemical Agency Candidate List of substances of very high concern for Authorisation</a>"
