order_color,order_hierarchy,order_calculate,order_htmlplot,goal,parent,name,name_flower,description,weight,preindex_function,postindex_function
1.2,1,13,3,FP,NA,Food Provision,Food Provision,The Food Provision goal measures the amount of seafood captured or farmed in a sustainable way. ,1,NA,"FP(layers, scores)"
1.1,1.1,1,4,FIS,FP,Fisheries,Fisheries,The Fisheries sub-goal of Food Provision describes the ability to maximize the sustainable yield of wild-caught seafood for human consumption.,0.5,FIS(layers),NA
1.3,1.2,2,2,MAR,FP,Mariculture,Mari-\nculture,The Mariculture sub-goal describes a country's ability to maximize the sustainable yield of farmed fish in the ocean for human consumption. ,0.5,MAR(layers),NA
2,2,3,1,AO,NA,Artisanal Fishing Opportunity,Artisanal Fishing\nOpportunities,"The Artisanal Fishing Opportunities goal assesses whether people who need to fish on a small, local scale have the opportunity to do so. ",1,AO(layers),NA
3,3,18,18,NP,NA,Natural Products,Natural Products,The Natural Products goal measures how sustainably people harvest non-food products from the Baltic Sea.,1,NP(layers),NA
4,4,4,17,CS,NA,Carbon Storage,Carbon Storage,"The Carbon Storage goal captures the ability of the coastal habitats to remove carbon given their carbon uptake rate and health conditions. Highly productive coastal wetland and saltmarsh ecosystems, and seagrass meadows store substantially large amount of carbon and have the highest sequestration rates of any habitats on earth. It is therefore important for coastal management to preserve habitats with a high carbon storage potential, like seagrass beds.  ",1,CS(layers),NA
6,6,5,16,TR,NA,Tourism & Recreation,Tourism and\nRecreation,"Tourism in coastal areas is a major component of thriving coastal communities and a measure of how much people value ocean systems, i.e. by traveling to coastal and ocean areas. This goal aims to capture the value that people have for experiencing and enjoying coastal areas.",1,TR(layers),NA
7.2,7,14,14,LE,NA,Coastal Livelihoods & Economies,Coastal Livelihoods & Economies,People rely on the ocean to provide livelihoods (i.e. jobs with steady wages) and stable economies for coastal communities worldwide. The Livelihoods and Economies goal aims to maintain coastal and ocean-dependent livelihoods and productive coastal economies while also maximizing livelihood quality.,1,NA,"LE(scores, layers)"
7.1,7.1,6,15,LIV,LE,Livelihoods,Liveli-\nhoods,"This goal aims to capture livelihood quantity and quality for people living on the coast, encompassing all the marine sectors that supply jobs and wages to coastal communities. Ideally, it would also reflect the working conditions and job satisfaction.",0.5,LIV(layers),NA
7.3,7.2,7,13,ECO,LE,Economies,Econ-\nomies,This subgoal captures the economic value associated with marine industries.,0.5,ECO(layers),NA
8.2,10,15,6,SP,NA,Sense of Place,Sense of Place,"People derive a sense of identity or value from living near the ocean, visiting coastal or marine locations. The Sense of Place goal captures the aspects of the coastal and marine system that people value as part of their cultural identity. ",1,NA,SP(scores)
8.1,10.1,8,7,ICO,SP,Iconic Species,Iconic\nSpecies,"Marine species hold multiple meanings for humans, ranging from the food provisioning and socio-economic services perspective to aesthetic and religious values across diverse societies and communities. This subgoal captures the status of species that are important to a region because they are relevant to local cultural identity.",0.5,ICO(layers),NA
8.3,10.2,9,5,LSP,SP,Lasting Special Places,Lasting\nSpecial Places,"The Lasting Special Places sub-goal focuses on those geographic locations that hold particular value for biological, aesthetic, ecosystem service or cultural reasons, and assesses how well they are protected. ",0.5,LSP(layers),NA
9.2,9,16,10,CW,NA,Clean Waters,Clean Waters,The Clean Waters goal captures the aim to reach good environmental status and the degree of how harmful the waters are. ,1,NA,CW(scores)
9.1,9.1,10,11,EUT,CW,Eutrophication,Eutro-\nphication,"This sub-goal captures the degree to which waters are unpolluted by nutrients, and unaffected by eutrophication.",0.33,EUT(layers),NA
9.3,9.2,11,9,TRA,CW,Trash,Trash,"The Trash sub-goal assesses a region's ability to manage litter in order to prevent it from entering the ocean and causing harm to the coastal and marine environments. Marine litter is a large global concern, impacting all marine environments of the world and, therefore, needs to be monitored.",0.33,TRA(layers),NA
9.4,9.3,12,8,CON,CW,Contaminants,Con-\ntaminants,This goal captures the degree to which waters are unpolluted by contaminants.,0.33,CON(layers),NA
10,8,17,12,BD,NA,Biodiversity,Biodiversity,"This goal captures the biodiversity status of the Baltic Sea ecosystems and intactness of broad, encompassing marine habitats/zones.",1,BD(layers),NA